0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
26,512,56,67,86,131,116,240,146,66,176,91,206,218,236,-5,266,337,296,236,,,,,,,,,,,,,,
27,30,57,438,87,480,117,173,147,216,177,406,207,208,237,35,267,251,297,192,,,,,,,,,,,,,,
28,344,58,58,88,125,118,252,148,331,178,560,208,44,238,101,268,69,298,62,,,,,,,,,,,,,,
29,308,59,85,89,55,119,339,149,33,179,177,209,286,239,276,269,261,299,30,,,,,,,,,,,,,,
30,102,60,406,90,94,120,219,150,297,180,137,210,499,240,271,270,210,300,230,,,,,,,,,,,,,,
Centre:,140401,GOVT,GIRLS,H,S,AND,M,P,SCHOOL,"TEZPUR,",GOVT,GIRLS,HS,&,MP,SCHOOL,TEZPUR,NEW,AMOLAPATTY,WARD,NO.,:,6,TEZPUR,"ASSAM,","TEZPUR,",ASSAM,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,
301,75,331,208,361,562,391,122,421,84,451,51,481,261,511,247,541,389,571,75,,,,,,,,,,,,,,
302,370,332,117,362,136,392,324,422,205,452,57,482,537,512,360,542,267,572,53,,,,,,,,,,,,,,
303,311,333,231,363,554,393,445,423,216,453,91,483,118,513,96,543,228,573,24,,,,,,,,,,,,,,
304,45,334,117,364,552,394,410,424,282,454,142,484,56,514,597,544,330,574,350,,,,,,,,,,,,,,
305,125,335,127,365,46,395,434,425,132,455,545,485,66,515,100,545,2,575,44,,,,,,,,,,,,,,
306,528,336,149,366,60,396,560,426,151,456,389,486,29,516,118,546,95,576,10,,,,,,,,,,,,,,
307,610,337,280,367,28,397,286,427,166,457,168,487,244,517,444,547,250,577,38,,,,,,,,,,,,,,
308,136,338,171,368,310,398,84,428,74,458,65,488,86,518,121,548,515,578,167,,,,,,,,,,,,,,
309,645,339,73,369,120,399,70,429,532,459,245,489,167,519,151,549,345,579,95,,,,,,,,,,,,,,
310,98,340,340,370,125,400,186,430,119,460,421,490,399,520,22,550,42,580,94,,,,,,,,,,,,,,
311,511,341,385,371,176,401,104,431,191,461,358,491,252,521,145,551,556,,,,,,,,,,,,,,,,
312,37,342,132,372,100,402,65,432,370,462,150,492,178,522,602,552,22,,,,,,,,,,,,,,,,
313,25,343,601,373,46,403,47,433,70,463,48,493,47,523,58,553,141,,,,,,,,,,,,,,,,
314,183,344,94,374,339,404,165,434,119,464,45,494,181,524,200,554,170,,,,,,,,,,,,,,,,
315,174,345,61,375,74,405,107,435,117,465,116,495,301,525,80,555,216,,,,,,,,,,,,,,,,
316,32,346,94,376,183,406,345,436,75,466,334,496,91,526,81,556,159,,,,,,,,,,,,,,,,
317,421,347,190,377,25,407,339,437,191,467,114,497,137,527,86,557,194,,,,,,,,,,,,,,,,
318,503,348,57,378,35,408,55,438,155,468,233,498,140,528,371,558,374,,,,,,,,,,,,,,,,
319,200,349,103,379,98,409,166,439,191,469,407,499,250,529,58,559,100,,,,,,,,,,,,,,,,
320,84,350,571,380,324,410,92,440,261,470,150,500,97,530,110,560,152,,,,,,,,,,,,,,,,
321,225,351,615,381,5,411,191,441,87,471,21,501,36,531,165,561,96,,,,,,,,,,,,,,,,
322,96,352,208,382,251,412,101,442,256,472,310,502,388,532,102,562,64,,,,,,,,,,,,,,,,
323,74,353,66,383,640,413,223,443,132,473,193,503,104,533,322,563,363,,,,,,,,,,,,,,,,
324,212,354,143,384,163,414,21,444,31,474,208,504,258,534,110,564,254,,,,,,,,,,,,,,,,
325,615,355,357,385,507,415,36,445,121,475,445,505,340,535,225,565,410,,,,,,,,,,,,,,,,
326,193,356,65,386,214,416,409,446,280,476,479,506,351,536,181,566,83,,,,,,,,,,,,,,,,
327,121,357,118,387,533,417,470,447,32,477,45,507,110,537,95,567,128,,,,,,,,,,,,,,,,
328,366,358,119,388,54,418,375,448,105,478,302,508,71,538,289,568,205,,,,,,,,,,,,,,,,
329,115,359,268,389,156,419,108,449,38,479,49,509,89,539,262,569,84,,,,,,,,,,,,,,,,
330,113,360,286,390,128,420,35,450,358,480,366,510,70,540,261,570,419,,,,,,,,,,,,,,,,
