0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
905,133,935,73,,,,,,,,,,,,,,,,,,,,,,,,,,
906,138,936,81,,,,,,,,,,,,,,,,,,,,,,,,,,
907,127,937,12,,,,,,,,,,,,,,,,,,,,,,,,,,
908,348,938,71,,,,,,,,,,,,,,,,,,,,,,,,,,
909,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
